Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","27002","Holdings","2020","2016","No","209470000","A","Official figure","The following minimum size limits (MSLs) were used to define a household agricultural holding: (i) the holding operates arable land, garden plot and aquaculture water surface cover with an area of 0.1 mu (approximately 67 m2) or more within the year; (ii) the holding operates woodland and pasture cover with an area of 1 mu or more within the year; (iii) the holding keeps at least one large or medium livestock, such as cattle, horse, pig and sheep within the year; (iv) the holding keeps at least 20 heads of rabbits and other small animals and fowls within the year; (v)the value of sold and self-produced agricultural products in the whole year exceeds 1000 RMB Yuan ; and (vi) the operating revenue from crop farming, forestry, livestock and aquaculture and fisheries service provided for other households exceeds 1000 RMB Yuan."
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","270070","Holdings operated by civil persons","2020","2016","No","207430000","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","6201","Percent of total number","270070","Holdings operated by civil persons","2020","2016","%","99.03","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","270071","Holdings operated by juridical persons","2020","2016","No","2040000","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","6201","Percent of total number","270071","Holdings operated by juridical persons","2020","2016","%","0.97","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","270082","Household members, male","2020","2016","No","448304985","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","270081","Household members, female","2020","2016","No","405046783","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","270080","Household members, total","2020","2016","No","853351768","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","50190","Average persons per holding (household members)","270080","Household members, total","2020","2016","No","4.11","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","270092","Household members, engaged in agriculture, male","2020","2016","No","164943919","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","62021","Percent of total persons (household members)","270092","Household members, engaged in agriculture, male","2020","2016","%","19.33","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","270091","Household members, engaged in agriculture, female","2020","2016","No","149274489","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","62021","Percent of total persons (household members)","270091","Household members, engaged in agriculture, female","2020","2016","%","17.49","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","60850","Number","270090","Household members, engaged in agriculture, total","2020","2016","No","314218408","A","Official figure",""
"WCAD","Structural data from agricultural censuses","159","China","62021","Percent of total persons (household members)","270090","Household members, engaged in agriculture, total","2020","2016","%","36.82","A","Official figure",""
